,X,X.1,RespondentID,StartDate,EndDate,Age,Ethnic,Sex,MilitaryServiceName,MilitaryRankShortName,CountryName,CurricNumber,CurricShortName,SchoolName,Site,DegreeLevel,Q1,Q2,Q3a,Q3b,Q3c,Q4a,Q4b,Q4c,Q4d,Q4e,Q4f,Q4g,Q4h,Q4i,Q4j,Q4k,Q4l,Q4m,Q5a,Q5b,Q5c,Q6a,Q6b,Q6c,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q9a,Q9b,Q9c,Q9d,Q10a,Q10b,Q10c,Q10d,Q10e,Q10f,Q11a,Q11b,Q11c,Q11d,Q11e,Q11f,Q11g,Q11h,Q11i,Q12a,Q12b,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q14a,Q14b,Q14c,Q14d,Q15a,Q15b,Q15c,Q15d,Q15e,Q16,Q17,Q18a,Q18b,Q18c,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,Q19h,Q19i,Q19j,Q20a,Q20b,Q20c,Q20d,Q20e,Q20f,Q20g,Q20h,Q20i,Q20j,Q21,Q22a,Q22b,Q22c,Q23,Q24a,Q24b,Q24c,Q25,Q26,Q27a,Q27b,Q27c,Q27d,Q28a,Q28b,Q28c,Q28d,Q28e,Q29,Q30,Q31a,Q31b,Q31c,Q31d,Q32,Q33,Q34,Q35,Q36,Q37,Q38,AgeGroup
94,94,94,3083269495,2/20/14 18:19,2/21/14 3:56,29,White,F,USN,LT,United States of America,308,Systems Engineering Analysis,Provost Oversight,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,2,2,T,TR,ICR,Somewhat Well,Somewhat Well,NA,Very Well,Not At All,Very Little,Very Well,Very Well,Very Well,Very Well,Very Little,Somewhat Well,Not At All,Selcet,Selcet,Not Select,Selcet,Selcet,Not Select,Selcet,Not Select,Selcet,Not Select,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,0,-1,1,1,-1,-1,2,0,NA,Second,First,Third,Fifth,Third,Second,Fourth,First,SE,No,Not Select,Not Select,Not Select,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Rarely,Selcet,Not Select,Selcet,Yes,GH,Selcet,Selcet,Selcet,Selcet,1,1,1,-1,1,Most,Yes,1,-1,1,2,-1,1,1,-1,2,Intermediate,7,20-30
95,95,95,3083269103,2/20/14 18:19,2/20/14 18:32,34,White,M,USA,MAJ,United States of America,699,Special Operations,Graduate School of Operational and Information Sciences,NPS,Master,No,No,Select,Not Select,Not Select,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,1,1,-1,SL,ICR,ICR,Very Little,Very Well,Somewhat Well,Very Little,Somewhat Well,Somewhat Well,NA,Somewhat Well,Very Well,Very Well,Very Little,Somewhat Well,Very Little,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,2,1,-1,1,-1,-2,-1,-1,Fourth,Third,First,Second,Second,Fourth,Fifth,Third,First,N,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper Copy,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Sometimes,Selcet,Selcet,Selcet,Yes,NA,Selcet,Selcet,Not Select,Not Select,2,1,1,1,-1,Most,Yes,2,-2,1,2,-2,-2,1,-1,1,Intermediate,5,31-35
96,96,96,3083264932,2/20/14 18:17,2/20/14 18:35,28,White,M,USN,LT,United States of America,360,Operations Analysis,Graduate School of Operational and Information Sciences,NPS,Master,Yes,No,Select,Select,Not Select,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,-1,0,1,SL,ICR,TR,Very Well,Somewhat Well,NA,Very Well,Very Little,Very Little,Very Well,Very Well,Very Well,Very Little,Very Little,Very Well,Very Well,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,1,2,1,2,0,1,-2,1,NA,NA,Second,First,Second,Fifth,Fourth,Third,First,F,No,Not Select,Not Select,Selcet,Email,SAKAI,NA,NA,NA,Prof Web Site,NA,NA,Prof H Drive,Paper Copy,Email,SAKAI,NA,NA,NA,Prof Web Site,NA,NA,Prof H:drive,Paper copy,Yes,Selcet,Selcet,Selcet,Sometimes,Selcet,Selcet,Selcet,Yes,GH,Not Select,Selcet,Selcet,Selcet,-2,-1,0,-2,-2,Most,Yes,1,0,1,1,-2,-1,-1,-2,-1,Advanced,6,20-30
97,97,97,3083253839,2/20/14 18:13,2/20/14 18:14,29,White,M,USN,LT,United States of America,308,Systems Engineering Analysis,Provost Oversight,NPS,Master,No,No,Select,Select,Not Select,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Selcet,Selcet,Selcet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Selcet,Selcet,Selcet,NA,Selcet,Selcet,Selcet,NA,NA,Selcet,Selcet,Selcet,Not Select,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20-30
98,98,98,3083253702,2/20/14 18:05,2/20/14 18:43,32,White,M,USN,LT,United States of America,525,Undersea Warfare,Graduate School of Engineering and Applied Sciences,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,0,1,2,SL,TR,TR,Very Little,Very Well,Very Well,Somewhat Well,NA,Very Little,Somewhat Well,Very Well,Very Well,Very Well,Very Little,Somewhat Well,Not At All,Not Select,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Not Select,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,1,1,1,2,1,0,-1,1,Third,Fourth,Second,First,Third,Fifth,Fourth,Second,First,F,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper Copy,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper copy,Yes,Selcet,Selcet,Selcet,Never,Selcet,Selcet,Selcet,Yes,NA,Not Select,Selcet,Not Select,Selcet,1,2,2,1,1,Most,Yes,1,-1,1,1,-1,1,1,-2,2,Intermediate,8,31-35
99,99,99,3083248041,2/20/14 18:10,2/20/14 18:28,45,Hispanic/Latinos,M,USNR,LT,United States of America,837,Financial Management,Graduate School of Business and Public Policy,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,1,1,1,T,SL,T,Somewhat Well,Somewhat Well,NA,NA,NA,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,NA,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Not Select,1,1,2,2,NA,1,NA,NA,Fourth,Third,Second,First,Fifth,Third,Second,Fourth,First,F,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper Copy,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Rarely,Selcet,Selcet,Selcet,No,NA,Selcet,Selcet,Selcet,Not Select,1,1,1,0,2,Most,Yes,-1,-1,0,0,0,1,-1,1,1,Basic,1,41+
100,100,100,3083240721,2/20/14 18:08,2/20/14 23:07,41,Hispanic/Latinos,M,USAF,Maj.,United States of America,683,Western Hemisphere,School of International Graduate Studies,NPS,Master,No,No,Select,Not Select,Not Select,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,NA,1,1,1,T,T,T,Somewhat Well,Very Little,Somewhat Well,Very Well,Very Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Not Select,Not Select,Not Select,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Not Select,Selcet,1,1,1,0,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Selcet,Selcet,Selcet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Selcet,Selcet,Selcet,NA,Selcet,Selcet,Selcet,NA,NA,Selcet,Selcet,Selcet,Selcet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41+
101,101,101,3083236578,2/20/14 18:05,2/20/14 18:22,24,Hispanic/Latinos,F,USN,ENS,United States of America,525,Undersea Warfare,Graduate School of Engineering and Applied Sciences,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,2,2,0,LL,ICR,TR,Somewhat Well,Very Well,Very Well,Very Well,Very Little,Very Little,Very Well,Very Well,Very Well,Somewhat Well,Very Little,Somewhat Well,Very Little,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,1,1,2,2,2,2,2,2,NA,Third,Second,First,Second,Fifth,Fourth,Third,First,F,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,Prof Web Site,NA,NA,NA,NA,Email,SAKAI,NA,NA,NA,Prof Web Site,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Never,Selcet,Selcet,Not Select,No,NA,Not Select,Selcet,Selcet,Not Select,2,2,2,-1,2,Most,Yes,0,2,0,0,-1,-1,1,-1,0,Intermediate,3,20-30
102,102,102,3083231225,2/20/14 18:03,2/20/14 18:04,28,White,M,NA,NA,United States of America,835,Contract Management (DL),Graduate School of Business and Public Policy,NPS,Master,No,NA,Not Select,Not Select,Not Select,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Selcet,Selcet,Selcet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Selcet,Selcet,Selcet,NA,Selcet,Selcet,Selcet,NA,NA,Selcet,Selcet,Selcet,Selcet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20-30
103,103,103,3083230370,2/20/14 18:02,2/20/14 18:18,29,White,F,USN,LTJG,United States of America,247,Regional Security Studies (East & Southeast Asia),School of International Graduate Studies,NPS,Certificate,Yes,Yes,Not Select,Not Select,Not Select,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,1,-1,1,SL,ICR,TR,Very Well,Very Little,Somewhat Well,Very Little,Somewhat Well,Very Little,Very Well,Very Well,Somewhat Well,Very Well,Somewhat Well,Somewhat Well,Very Little,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Not Select,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,1,1,-1,1,1,0,-1,1,Third,Second,First,Fourth,Third,First,Second,Fourth,Fifth,F,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper Copy,Email,SAKAI,NA,NA,NA,NA,NA,Google Drive,NA,NA,Yes,Selcet,Selcet,Selcet,Often,Selcet,Selcet,Not Select,No,NA,Not Select,Selcet,Not Select,Not Select,2,1,1,-1,1,Most,No,0,1,-1,-1,-1,-1,1,-1,-1,Intermediate,1,20-30
104,104,104,3083230273,2/20/14 18:03,2/20/14 18:12,29,White,M,USN,LT,United States of America,361,Joint Operational Logistics,Graduate School of Operational and Information Sciences,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,1,1,1,LL,TR,ICR,NA,Very Well,Somewhat Well,Very Little,Very Little,Somewhat Well,Somewhat Well,Somewhat Well,Very Well,Very Well,Very Little,Very Well,Very Well,Selcet,Selcet,Not Select,Selcet,Not Select,Not Select,Selcet,Not Select,Not Select,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Not Select,Selcet,1,1,0,1,0,0,0,0,Fourth,Third,First,Second,Fourth,Third,Fifth,Second,First,F,Yes,Selcet,Selcet,Selcet,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Rarely,Selcet,Not Select,Selcet,No,NA,Not Select,Selcet,Selcet,Selcet,2,2,1,1,1,Most,Yes,1,0,0,0,1,2,2,0,0,Intermediate,4,20-30
105,105,105,3083230043,2/20/14 18:03,2/20/14 18:13,41,Asian American/Pacific Islander,M,USN,LT,United States of America,691,Homeland Security and Defense,School of International Graduate Studies,NPS,Master,Yes,No,Select,Not Select,Not Select,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0,2,2,T,ICR,TR,Very Well,Somewhat Well,Very Well,Very Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Not Select,Selcet,Not Select,Selcet,Selcet,Selcet,Not Select,Not Select,Not Select,Not Select,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Not Select,Not Select,1,2,2,2,2,2,2,2,Second,First,Fourth,Third,Third,First,Second,Fourth,Fifth,E,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,Prof Web Site,NA,NA,Prof H Drive,NA,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Never,Selcet,Selcet,Selcet,No,NA,Not Select,Selcet,Selcet,Not Select,1,1,1,1,1,Some,Yes,-1,0,-1,-1,1,-1,1,1,1,Intermediate,1,41+
106,106,106,3083229459,2/20/14 18:03,2/20/14 18:24,29,White,M,USN,LT,United States of America,590,Electronic Systems Engineering,Graduate School of Engineering and Applied Sciences,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,1,1,0,SL,TR,ICR,Very Little,Somewhat Well,NA,Somewhat Well,Somewhat Well,NA,Very Little,Very Little,Somewhat Well,Somewhat Well,NA,Very Little,NA,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,1,0,1,2,0,1,0,1,NA,Third,Second,First,Fourth,Fifth,First,Second,Third,F,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,Prof H Drive,Paper Copy,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Sometimes,Selcet,Selcet,Selcet,NA,NA,Selcet,Selcet,Selcet,Selcet,NA,NA,NA,NA,NA,Most,Yes,0,1,0,0,1,1,-1,-1,-1,Expert,8,20-30
107,107,107,3083227732,2/20/14 18:02,2/20/14 18:09,31,Hispanic/Latinos,F,NA,NA,United States of America,809,Defense Business Management,Graduate School of Business and Public Policy,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,1,1,1,SL,ICR,TR,Somewhat Well,Somewhat Well,Somewhat Well,NA,Somewhat Well,Somewhat Well,Very Well,Very Well,Very Well,Somewhat Well,Somewhat Well,Somewhat Well,Very Little,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,1,0,0,1,1,1,1,-1,Fourth,First,Third,Second,Second,Fourth,Fifth,Third,First,E,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Sometimes,Selcet,Selcet,Selcet,Yes,NA,Selcet,Selcet,Selcet,Not Select,1,1,1,0,0,Some,No,0,0,0,0,-1,1,2,0,NA,Intermediate,5,31-35
108,108,108,3083225791,2/20/14 18:01,2/20/14 18:29,33,Black/African American,M,USN,LT,United States of America,827,Materiel Logistics Support Management,Graduate School of Business and Public Policy,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,1,2,2,LL,T,SL,Somewhat Well,Very Well,Very Well,Very Well,Somewhat Well,Somewhat Well,Very Well,Very Well,Very Well,Very Well,Very Little,Very Well,Somewhat Well,Not Select,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,2,2,2,2,0,0,1,2,Third,Fourth,First,Second,First,Third,Second,Fourth,Fifth,F,NA,Selcet,Selcet,Selcet,NA,SAKAI,NA,Tunitin,NA,NA,NA,NA,NA,NA,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Sometimes,Selcet,Selcet,Selcet,Yes,IH,Not Select,Selcet,Selcet,Selcet,1,1,0,-1,-1,Most,Yes,-2,2,-2,1,-1,2,-1,1,2,Intermediate,3,31-35
109,109,109,3083224530,2/20/14 18:00,2/20/14 18:17,31,White,M,USMC,Capt,United States of America,360,Operations Analysis,Graduate School of Operational and Information Sciences,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,0,0,0,SL,SL,ICR,Somewhat Well,Very Well,Very Well,Very Well,Very Little,Somewhat Well,Somewhat Well,Very Well,Very Well,Very Well,Somewhat Well,Very Well,Very Little,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,1,1,NA,NA,NA,NA,NA,NA,Third,Fourth,Second,First,Third,Fifth,Fourth,Second,First,SE,NA,Selcet,Selcet,Selcet,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper Copy,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper copy,Yes,Selcet,Selcet,Selcet,Rarely,Not Select,Selcet,Selcet,No,NA,Selcet,Selcet,Not Select,Not Select,1,1,2,0,0,All,No,0,1,-1,-1,-2,-2,2,-2,-1,Advanced,3,31-35
110,110,110,3083222359,2/20/14 18:00,2/20/14 18:17,40,White,M,USA,LTC,United States of America,816,Systems Acquisition Management,Graduate School of Business and Public Policy,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,NA,2,-1,-1,SL,TR,TR,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Not At All,Somewhat Well,Somewhat Well,Somewhat Well,Very Well,Somewhat Well,Somewhat Well,Not At All,Not Select,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,2,2,2,2,0,0,0,0,Third,Fourth,Second,First,Third,Fourth,First,Fifth,Second,F,No,Not Select,Not Select,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper Copy,Email,SAKAI,NA,NA,NA,NA,Drop Box,Google Drive,NA,NA,No,Selcet,Not Select,Selcet,Never,Selcet,Selcet,Selcet,No,NA,Not Select,Selcet,Selcet,Selcet,2,2,2,2,2,Most,No,2,2,2,2,1,2,2,-2,1,Intermediate,5,36-40
111,111,111,3083221586,2/20/14 17:59,2/20/14 18:09,34,White,M,USAF,Maj.,United States of America,682,"Far East, Southeast Asia, Pacific",School of International Graduate Studies,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,1,1,1,SL,TR,TR,Somewhat Well,Very Well,NA,NA,NA,Somewhat Well,Somewhat Well,Somewhat Well,Very Well,Somewhat Well,Very Little,NA,NA,Selcet,Selcet,Not Select,Selcet,Selcet,Not Select,Selcet,Not Select,Selcet,Selcet,Selcet,Not Select,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,1,1,1,1,1,1,2,1,Second,Fourth,First,Third,Third,Fifth,Fourth,First,Second,SE,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,Tunitin,NA,NA,NA,NA,NA,Paper Copy,Email,NA,NA,NA,NA,Prof Web Site,Drop Box,Google Drive,NA,Paper copy,NA,Selcet,Selcet,Selcet,Often,Selcet,Not Select,Selcet,No,NA,Not Select,Selcet,Not Select,Not Select,2,2,2,2,2,Most,No,-1,-1,1,1,-2,-2,1,-1,1,Intermediate,1,31-35
112,112,112,3083220283,2/20/14 17:59,2/20/14 18:07,29,White,F,USN,LT,United States of America,360,Operations Analysis,Graduate School of Operational and Information Sciences,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,0,2,-1,LL,T,ICR,Somewhat Well,Very Well,NA,Very Well,NA,Very Little,Somewhat Well,Very Well,Very Well,Very Little,Not At All,Somewhat Well,Not At All,Selcet,Selcet,Not Select,Selcet,Selcet,Not Select,Selcet,Not Select,Selcet,Not Select,Selcet,Not Select,Not Select,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,2,1,0,0,0,1,2,2,Fourth,First,Third,Second,Third,Fifth,Fourth,Second,First,SE,No,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,Prof Web Site,NA,NA,Prof H Drive,Paper Copy,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper copy,No,Selcet,Not Select,Not Select,Often,Selcet,Not Select,Not Select,Yes,NA,Not Select,Selcet,Selcet,Selcet,1,2,2,1,1,Most,No,0,1,-1,0,-2,-2,0,-2,-1,Advanced,8,20-30
113,113,113,3083080150,2/20/14 16:59,2/20/14 17:19,31,White,M,USN,LT,United States of America,366,Space Systems Operations,Graduate School of Engineering and Applied Sciences,NPS,Master,Yes,No,Select,Not Select,Not Select,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,0,2,SL,T,TR,Very Well,Somewhat Well,NA,Very Little,Somewhat Well,Somewhat Well,Somewhat Well,Very Well,Somewhat Well,Very Well,Somewhat Well,Very Well,Somewhat Well,Selcet,Not Select,Not Select,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Not Select,Selcet,Selcet,Not Select,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,1,1,0,1,1,1,1,1,Fourth,Second,Third,First,Third,Fifth,Fourth,Second,First,SE,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper Copy,Email,SAKAI,NA,NA,NA,NA,NA,Google Drive,Prof H:drive,Paper copy,Yes,Selcet,Selcet,Selcet,Often,Selcet,Selcet,Not Select,Yes,KH,Not Select,Selcet,Not Select,Not Select,2,2,2,-1,2,Most,Yes,1,-1,1,1,-1,1,1,1,0,Advanced,7,31-35
114,114,114,3083074727,2/20/14 16:56,2/20/14 17:10,38,White,M,USN,LCDR,United States of America,591,Space Systems Engineering,Graduate School of Engineering and Applied Sciences,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,No,NA,No,No,No,No,No,No,No,No,No,No,No,0,0,0,SL,T,TR,Somewhat Well,Somewhat Well,NA,Somewhat Well,Very Little,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,0,0,0,-2,-2,-2,-2,-2,Fourth,First,Second,Third,Second,Third,Fourth,First,Fifth,SE,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,Prof H Drive,Paper Copy,NA,SAKAI,NA,NA,NA,NA,Drop Box,Google Drive,NA,NA,Yes,Selcet,Selcet,Selcet,Sometimes,Selcet,Selcet,Selcet,No,NA,Selcet,Selcet,Selcet,Selcet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36-40
115,115,115,3082759040,2/20/14 14:48,2/20/14 15:16,33,Hispanic/Latinos,M,USN,LT,United States of America,580,Systems Engineering,Graduate School of Engineering and Applied Sciences,NPS,Master,Yes,No,Not Select,Not Select,Not Select,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,-1,2,0,LL,T,ICR,Very Well,Very Well,Very Well,Very Well,NA,Somewhat Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Somewhat Well,Not Select,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,2,2,2,2,1,1,0,1,NA,Third,Second,First,Fifth,Fourth,Third,Second,First,F,Yes,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,Prof H Drive,NA,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Never,Selcet,Selcet,Selcet,Yes,NA,Not Select,Selcet,Selcet,Not Select,1,2,1,1,1,Most,Yes,0,1,-1,-1,-1,-2,1,-1,-1,Advanced,7,31-35
